Nombre,Segundo Nombre,Apellido Paterno,Apellido Materno,Estado,Municipio,Colonia,Calle,Numero Ext.,Numero Int.,Codigo Postal,CURP,Clave Elector,Fecha de Nacimiento,Seccion,Vigencia Ano Inicio,Vigencia Ano Final,Ano Registro,Mes Registro
MARCO,ANTONIO,RUELAS,ARAGON,JAL,VIEJA GUINEA,DE LA MONTANA SUR,AMPLIACION GUINEA ECUATORIAL,4422,EDIFICIO 14 DEPTO 97,39685,LGCR771595MSSVLLQ1,SXGGSU05508203HDYA,25/02/2005,9293,2027,2037,2013,10
JAIME,,SALCEDO,CEJA,ZAC,NUEVA REPUBLICA DEMOCRATICA DEL CONGO,LOS BAJOS NORTE,DIAGONAL NORTE NARVAEZ MZ 89 LT,4,,62952,IKVW239988HYRKBKV5,JZQSAB95250961D4MR,21/10/1960,8753,2030,2040,2022,09
JAIME,,OROSCO,ORTEGA,MEX,SAN ROLANDO LOS ALTOS,LOS ALTOS NORTE,BOULEVARD SANTANA,S/N,,78113,PCKM173303MSPIPLV4,VLNYFL39393204VC04,21/08/2000,1652,2020,2030,2003,02
RAMON,,MADRID,PARTIDA,TLAX,SAN ITZEL LOS BAJOS,LOS ALTOS SUR,PRIVADA EGIPTO KM,24.7,,61883,ATXG017901HSBDBT96,ZHSBUW007929006KZU,25/03/1976,4842,2021,2031,2014,07
BERNARDO,,YANEZ,GURULE,DGO,NUEVA VENEZUELA,DE LA MONTANA NORTE,CONTINUACION TAMAULIPAS,8198E,INT 298,48735,DYDI972840HKJTALB2,JTKUJG76997254CF49,05/02/1950,4167,2025,2035,2004,02
LUCAS,,GALVEZ,BONILLA,Q.ROO,SAN JOSE EDUARDO LOS ALTOS,LOS BAJOS NORTE,PEATONAL SISNEROS KM,63.9,,29654,HOJO067908MGDGFYM6,OVZRWG02518941P8HP,06/02/1991,5409,2020,2030,2006,07
ALEJANDRO,,BANUELOS,ROBLES,SLP,SAN PASCUAL LOS BAJOS,LOS ALTOS NORTE,PROLONGACION BRASIL,7522-84,,84251,YGJO746913MYEQJWA0,ZZZGXO221297321UOM,31/07/1937,3835,2023,2033,2021,05
JACINTO,,DOMINGUEZ,POSADA,QRO,SAN MARIA CRISTINA LOS ALTOS,LOS ALTOS SUR,VIADUCTO NORTE PELAYO KM,52.1,,88183,WPFA869281MYXPRYO9,YOWKIS563369454D8F,29/05/1974,8928,2020,2030,2010,05
TIMOTEO,,GARAY,SANABRIA,GTO,SAN ANA MARIA DE LA MONTANA,LOS ALTOS SUR,CONTINUACION DUENAS,1621-20,,98790,KVYY484806HBUIAHW6,LPYXWY363085672BOH,16/09/1947,1532,2025,2035,2022,12
MARIA,LUISA,ZARATE,OQUENDO,DGO,SAN CARLA LOS ALTOS,DE LA MONTANA NORTE,PASAJE CHIAPAS,6445J,,17807,KDAM147580HHPHDLZ6,NKBHQU69235402TXRX,02/02/1938,0657,2022,2032,2009,10
LORENZO,,VENEGAS,VILLAREAL,OAX,SAN JORGE LUIS LOS ALTOS,DE LA MONTANA NORTE,BOULEVARD PINA,5886,,23832,IBWR894696MMMBWPJ3,TDVKIL795222710KJI,17/08/1995,0070,2026,2036,2016,02
DEBORA,,OLIVAS,TORO,TLAX,SAN DULCE DE LA MONTANA,DE LA MONTANA NORTE,PERIFERICO SUR CEPEDA MZ 95 LT,53,A,70752,INKE031521HBQZIYM8,BKVADH97618987MHJJ,14/05/1969,1171,2027,2037,2011,01
ANGELICA,,ZAVALA,PERES,DGO,SAN ANTONIA DE LA MONTANA,DE LA MONTANA SUR,ANDADOR SUR CARDENAS,S/N,,23447,KASO365439HROHPD01,GXNKOU12087703S20K,20/11/1980,6560,2028,2038,2010,02
ZACARIAS,,CORRAL,OTERO,CDMX,NUEVA BHUTAN,DE LA MONTANA NORTE,CALLEJON AFGANISTAN KM,92.0,,82273,LFBL278569HVURXMM5,TGIHGN26279675R637,20/07/1983,7297,2022,2032,2018,03
CARLOS,,SALAZAR,CARVAJAL,HGO,SAN LORENZO LOS BAJOS,LOS ALTOS NORTE,RETORNO KAZAJSTAN,S/N,,49418,XYRH533359MGWXAMB8,UGHCLE69198065FIBE,11/02/1974,0427,2021,2031,2023,08
OFELIA,,SALCIDO,ZAVALA,CAMP,SAN RUFINO LOS ALTOS,LOS BAJOS NORTE,ANDADOR LUXEMBURGO MZ 8 LT,70,,76725,LHKA255890MHOXCQ64,XVBQBS82065225PYP1,27/03/1964,1633,2030,2040,2004,04
CESAR,,MERCADO,DELGADO,DGO,SAN FLAVIO DE LA MONTANA,DE LA MONTANA SUR,RETORNO SAUCEDO KM,90.0,DEPTO 946,75589,YEGU902581HQUYFBY1,BRYGPC04869611P1K9,17/07/1944,1400,2022,2032,2000,01
DELIA,,JIMINEZ,BUSTAMANTE,QRO,SAN MARIA LUISA DE LA MONTANA,LOS BAJOS NORTE,CORREDOR SUR LIRA MZ 12 LT,25,I,69078,OCZV922324HUYIDI53,YJRRJL366125961UPV,13/09/1950,7115,2020,2030,2002,02
ASUNCION,,LEIVA,MARTINEZ,SON,SAN FABIOLA DE LA MONTANA,LOS BAJOS SUR,PERIFERICO ROSADO,940-52,PISO 14,86988,NTWO557043MLGAHSG8,EXLQFZ96679209KM2Y,31/08/1991,4531,2025,2035,2004,08
OMAR,,SAIZ,BUSTOS,VER,SAN MARISELA LOS BAJOS,LOS BAJOS NORTE,AVENIDA SORIA,540I,DEPTO 137,18806,AQXF846341MUDASFD1,CKODMS00777700PW9O,13/12/1996,8932,2028,2038,2009,05
WENDOLIN,,POSADA,LINARES,MEX,SAN JORGE LUIS LOS BAJOS,LOS BAJOS SUR,BOULEVARD YBARRA,1273C,,42320,AARZ468056MDVZMKE4,AYVLDW650818308W3A,11/01/1939,6446,2030,2040,2001,10
RUFINO,,HURTADO,MENCHACA,JAL,VIEJA ISLAS MARSHALL,LOS BAJOS SUR,PRIVADA FIJI,S/N,,87683,SQEK023558HYGFOON0,IDDLRU529190253PLT,09/02/1974,5113,2024,2034,2022,03
PERLA,,SANDOVAL,NAVA,BCS,VIEJA EL SALVADOR,LOS ALTOS SUR,CALZADA CISNEROS MZ 26 LT,51,EDIFICIO 15 DEPTO 81,49041,VNWR072530MUFHVWV8,FOLULN18097674Y83D,03/01/1984,2154,2021,2031,2017,08
SANTIAGO,,TIRADO,GOLLUM,CHIH,SAN MARGARITA DE LA MONTANA,LOS BAJOS NORTE,CONTINUACION ESLOVAQUIA,8613,,54414,DHYN900132MKMZMFO8,QLCRTD17943648RZV4,02/06/1950,9821,2025,2035,2007,12
GERONIMO,,TAPIA,SANTACRUZ,HGO,NUEVA SRI LANKA,DE LA MONTANA NORTE,AMPLIACION NORTE RAMON KM,53.7,PISO 17,51012,RWJI124794MYQUNXN2,HNGOLF92215444K2MQ,25/09/2003,3333,2025,2035,2011,12
CAMILO,,URBINA,RESENDEZ,TAB,NUEVA HUNGRIA,LOS BAJOS NORTE,CALLE RIOS MZ 62 LT,20,,84154,ZAEZ529658HEHFHZ04,GDEMTC45225977Q906,28/06/2005,1430,2021,2031,2018,02
URIEL,,VARGAS,RENDON,OAX,VIEJA PANAMA,LOS BAJOS SUR,CALLEJON ANTIGUA Y BARBUDA KM,88.2,DEPTO D,41721,ZBIJ330734HTYTZJ79,OLTSBD85866102J9GE,28/06/1938,0177,2026,2036,2018,08
GONZALO,,ESCOBAR,ARANDA,GTO,SAN MARCO ANTONIO DE LA MONTANA,LOS ALTOS NORTE,CIRCUNVALACION NORTE TIJERINA,5770-35,H,41859,UCTU930616MZAHMN16,AZGYWV90560996807V,07/03/1954,0130,2027,2037,2018,12
GERMAN,,LUCIO,BRISENO,CDMX,SAN JUDITH DE LA MONTANA,LOS BAJOS SUR,ANDADOR ROLDAN,4421,,92560,MIPE976978HTFILBV2,YJXXKX25900230SZNI,17/07/1988,3173,2029,2039,2003,04
FELIPE,,OCASIO,AMAYA,NAY,VIEJA EGIPTO,LOS ALTOS SUR,PEATONAL NORTE VALLEJO,3513,,76647,XHLE739452HXQTOL56,RPVPSJ25785196C1FD,12/11/1935,1436,2028,2038,2002,12
MARIA,TERESA,GALVEZ,MAYORGA,COL,NUEVA LIBANO,DE LA MONTANA NORTE,CORREDOR BAJA CALIFORNIA,625,,40280,RUGP253938HYHQZDH8,CKEXEU76243441IZPQ,08/07/1984,6912,2022,2032,2019,10
LUIS,,SANTACRUZ,MENENDEZ,SIN,NUEVA ARGENTINA,LOS BAJOS NORTE,VIADUCTO FELICIANO KM,39.1,,88381,PIFI164305MBTUSVY1,UVBBCG263056419MF1,05/02/1981,4932,2029,2039,2017,11
CRISTOBAL,,MADRIGAL,PATINO,YUC,SAN MARISOL LOS BAJOS,LOS BAJOS NORTE,CERRADA QATAR MZ 85 LT,88,,58261,LOKU653647HVBQJZZ4,SRSOGE51037311K13Y,01/11/1981,1568,2020,2030,2010,12
MARIA,ELENA,VARGAS,GUERRA,TAMPS,VIEJA TURKMENISTAN,LOS BAJOS SUR,PERIFERICO COAHUILA DE ZARAGOZA,S/N,INT 274,54737,LKTY905384MOASSFU5,VLHHWW3064013950FO,03/06/1991,3628,2021,2031,2017,01
EUGENIO,,ORELLANA,PORRAS,YUC,NUEVA AFGANISTAN,DE LA MONTANA NORTE,CALLE AGUASCALIENTES MZ 43 LT,55,,14074,OEKC697450MTZAJVA3,KRNXDY95532471SM8I,28/11/2003,8957,2029,2039,2007,08
SOCORRO,,CARMONA,LEMUS,HGO,SAN LEONARDO LOS BAJOS,LOS BAJOS NORTE,CALLEJON SUR GODOY,7662C,,89836,MGWU590661MYTUNHN0,WCZQCD859927570OL9,01/08/1991,5595,2020,2030,2010,05
ANTONIO,,LARA,FLORES,VER,NUEVA HAITI,LOS ALTOS NORTE,PEATONAL ALEMANIA,9506-28,,14890,PSGT776986HCMDFLG0,DRUIXG61248645P8J3,01/02/1936,9945,2024,2034,2000,06
JOSE,,LEDESMA,DEL RIO,MOR,VIEJA KIRGUISTAN,DE LA MONTANA NORTE,PRIVADA SUR VELEZ,S/N,,78191,OXQU839263HXFGRF88,SCCVKC76196315Z1EW,25/12/1936,0936,2022,2032,2018,02
ABEL,,CERVANTEZ,MAYA,GRO,NUEVA MONTENEGRO,LOS ALTOS NORTE,DIAGONAL QUERETARO KM,72.6,,79236,CNZT075056MQVJAD24,LIRPCA777817558I2C,08/09/1965,2542,2021,2031,2002,08
OSWALDO,,NEGRETE,MARQUEZ,MEX,SAN SERAFIN DE LA MONTANA,DE LA MONTANA SUR,EJE VIAL ESPINAL,6884J,,26801,FVCO020049HZNDRZ97,QXJAIP63471600MJ9C,14/06/1973,5735,2028,2038,2007,06
IRENE,,ALTAMIRANO,ESQUIVEL,GRO,VIEJA COLOMBIA,LOS BAJOS SUR,PEATONAL NORTE LIRA,3929,,75802,BGFY679891MYTNKT59,OGAUHA79521535NUYQ,02/10/1969,9037,2025,2035,2016,10
YENI,,CANDELARIA,VACA,JAL,NUEVA GABON,LOS BAJOS SUR,EJE VIAL LUCERO,8160,EDIFICIO 9 DEPTO 60,12632,NUWI598360HLQZWV47,MGWOTM282345987FPM,14/10/1973,5966,2025,2035,2005,10
URSULA,,IRIZARRY,HERNANDEZ,HGO,SAN ALEJANDRA LOS BAJOS,DE LA MONTANA NORTE,CIRCUNVALACION BERRIOS KM,44.2,,48527,RGLQ583823HMIYPRL4,GAUECP92366991VP00,21/08/1955,6164,2027,2037,2023,05
VIRGINIA,,SANABRIA,PADILLA,GTO,VIEJA SAINT KITTS Y NEVIS,LOS BAJOS SUR,EJE VIAL ITALIA,4137-55,,23009,QJOV678852HSMFGO12,UFZBHV456096121FR7,18/08/1993,1628,2028,2038,2004,05
OSWALDO,,RODRIQUEZ,SALGADO,CAMP,VIEJA ETIOPIA,LOS BAJOS SUR,CONTINUACION FILIPINAS,1882,,49062,HENF190446MLLQSS72,JQWIOD84017669B8DK,23/10/1961,5686,2020,2030,2017,04
ROSALIA,,RODARTE,MORALES,CHIH,VIEJA SUDAFRICA,LOS ALTOS NORTE,PEATONAL SOLORZANO,4316,,50283,NOKI276978HFDXXRY9,PASKND33883958IIOR,13/01/1941,4689,2030,2040,2013,02
CECILIA,,GARZA,QUINTANA,TLAX,NUEVA REPUBLICA DEMOCRATICA POPULAR LAO,DE LA MONTANA NORTE,CALLE TAILANDIA,S/N,,67966,RCGP551062MQDVNVV1,HOLMWB15524702OGX5,05/07/1963,2241,2026,2036,2005,04
NATIVIDAD,,QUINONES,ESCAMILLA,CHIH,NUEVA POLONIA,LOS ALTOS SUR,PERIFERICO MYANMAR KM,100.9,,55849,ZFLT022524HNGGFKI8,DERFIT69436628B26W,16/04/2004,4112,2030,2040,2008,12
LOURDES,,VELA,TAMEZ,JAL,NUEVA GEORGIA,DE LA MONTANA NORTE,EJE VIAL OAXACA,683A,DEPTO H,83913,SMLN322044HTBDNH07,DFITCN71153665RX2K,05/11/1976,2014,2024,2034,2003,01
ESTELA,,BALDERAS,GRANADOS,DGO,SAN ASUNCION LOS ALTOS,DE LA MONTANA NORTE,CALLE GUATEMALA,8749H,,39750,ABAZ881928MDIDQAW1,SFJXEZ72463561Y00O,24/04/1948,7735,2028,2038,2016,01
SONIA,,FAJARDO,PUENTE,GTO,SAN DALIA DE LA MONTANA,LOS BAJOS NORTE,PROLONGACION SUR DE LA CRUZ MZ 13 LT,11,,52943,YXCQ564283MCSUEG99,WJEVHS0150397982P5,09/05/2003,1260,2025,2035,2021,09
MITZY,,DIAZ,PADRON,COL,SAN PAULINA LOS BAJOS,LOS ALTOS NORTE,DIAGONAL BENIN,S/N,,21833,GGVQ214006MZCNWBY6,IHGCHP68984626AP8U,29/08/2002,9960,2021,2031,2022,02
RUBEN,,MALAVE,MADRIGAL,TLAX,VIEJA ARABIA SAUDITA,LOS ALTOS NORTE,PRIVADA MONTEMAYOR,7232-15,,51175,QFYK506231MWDLBDM6,EIGMWB52106949Q7G6,31/05/1997,9989,2021,2031,2017,02
JULIO,,ALEJANDRO,ARENAS,MIC,SAN ROLANDO LOS ALTOS,LOS ALTOS SUR,PRIVADA MANZANARES,7095J,INT 334,21319,ANCT884145HWLQLDX6,KXCAHZ83635872CCMY,09/03/1982,8020,2024,2034,2003,01
PERLA,,RUIZ,CARRANZA,QRO,VIEJA REPUBLICA DE MOLDOVA,DE LA MONTANA NORTE,CONTINUACION SUR GUILLEN,S/N,,36813,UQSP782603MYMHQRF6,FJHRNB01791802XIBY,02/10/1947,1813,2030,2040,2005,01
ANGELICA,,GAMEZ,PORTILLO,GTO,NUEVA DJIBOUTI,LOS ALTOS SUR,AVENIDA BRASIL,8581,,45835,WXJF026629HJEQNNM7,ULGOTZ36061667763O,11/03/2000,6854,2028,2038,2007,07
RAMON,,GUILLEN,MEDINA,ZAC,SAN RAFAEL LOS BAJOS,DE LA MONTANA NORTE,CIRCUNVALACION RUBIO,S/N,PISO 3,97428,HEMG902347HQWCGZT2,XSEFMC94323725SJAM,20/01/1989,3627,2029,2039,2017,05
LETICIA,,RANGEL,VALDEZ,BC,SAN YOLANDA DE LA MONTANA,LOS BAJOS SUR,DIAGONAL MAYA,3292-76,I,30233,FFAB808446HDMOUFI0,WXHLWG323044436O5J,08/09/1940,3366,2021,2031,2017,12
VICENTE,,TERAN,ORTIZ,COL,SAN SUSANA LOS ALTOS,LOS ALTOS NORTE,CIRCUITO CHIPRE,9313-8,DEPTO C,58350,AALB406384HMWUGOW9,MVPBIW63929510QA04,18/08/1972,9575,2023,2033,2020,01
CRISTINA,,ESTRADA,SEVILLA,NAY,VIEJA CHAD,LOS ALTOS SUR,CONTINUACION COLOMBIA,4113-6,,18360,LZDH145083MAQJVER0,LSESKA45398679I7SU,11/09/1976,2043,2030,2040,2004,02
ABEL,,ALMANZA,HERRERA,CDMX,SAN NORMA LOS ALTOS,LOS BAJOS SUR,BOULEVARD YUCATAN,4476D,INT 304,18737,ZLEI995177HYMFDJ02,OVUYUD31891454DWNZ,10/10/1983,3689,2030,2040,2023,06
SOFIA,,ARMAS,URRUTIA,ZAC,NUEVA NUEVA ZELANDIA,LOS ALTOS NORTE,EJE VIAL MEXICO,1095A,,24612,EZVW948347MWKHQVF8,VDNRVM01987354NJPB,01/11/2002,9387,2022,2032,2017,06
JUDITH,,PUENTE,VILLARREAL,TLAX,VIEJA RWANDA,LOS BAJOS NORTE,BOULEVARD JAPON,9007,,19127,ZQLY355502HYCVMOT8,XPFAQU08107597QLMM,17/11/1993,6906,2023,2033,2005,04
AURORA,,JURADO,LLAMAS,SIN,SAN HERMELINDA DE LA MONTANA,LOS ALTOS NORTE,EJE VIAL REPUBLICA DEMOCRATICA POPULAR LAO,6253F,INT 55,94119,NLFO292430MAGLWD49,LIJZOZ931364416079,11/06/1954,4736,2030,2040,2007,01
SERAFIN,,MAESTAS,CARREON,BCS,VIEJA HUNGRIA,LOS BAJOS SUR,DIAGONAL NORTE BATISTA,4076-52,,48109,RPQV817430HUQEMDW2,WUDHRH58120154BPO4,25/09/1992,9193,2026,2036,2009,06
BRUNO,,BOTELLO,RODRIQUEZ,GTO,NUEVA LIBANO,LOS ALTOS NORTE,PASAJE BURKINA FASO,2919,,52383,NCFJ782575HZXHVEN3,REMKSY694120639EIJ,14/12/1963,2471,2024,2034,2000,01
JORGE,,SOLIZ,VAZQUEZ,QRO,SAN NOELIA DE LA MONTANA,DE LA MONTANA SUR,PRIVADA MONGOLIA KM,48.8,,61762,XWCU466152MZAPISB0,SDGKXS73100171CL6H,05/09/2005,2954,2027,2037,2001,04
FELIPE,,GAMBOA,ARROYO,BC,SAN LILIA LOS BAJOS,DE LA MONTANA NORTE,VIADUCTO GRACIA,9363-84,C,32081,XGGZ443861MKFYJZ76,KIQNIK13505013DFY1,12/04/1942,3922,2021,2031,2013,12
SUSANA,,MARQUEZ,SALINAS,CHIS,VIEJA AFGANISTAN,LOS ALTOS SUR,EJE VIAL DEL RIO,8152,INT 648,23143,BLAR559892HYOBHDT4,EFYBMH38000606OH6O,18/01/1974,3836,2021,2031,2007,07
LEONEL,,ESTEVEZ,SAAVEDRA,JAL,SAN EVELIO LOS ALTOS,LOS BAJOS SUR,CERRADA SONORA KM,66.6,,86507,VSXP878441HVHSLA98,ENEWKJ236254299WPA,31/03/1962,1450,2028,2038,2008,12
CLAUDIO,,PALOMO,MIRELES,SON,SAN MODESTO LOS BAJOS,LOS BAJOS NORTE,RETORNO NORTE TAPIA,S/N,,51730,JUPM976009HBZSRO50,BBACME63211689GH0G,16/08/1942,8963,2026,2036,2002,09
YURIDIA,,NEGRON,POLANCO,SLP,VIEJA BURKINA FASO,LOS ALTOS SUR,PEATONAL KIRIBATI MZ 59 LT,19,,98120,QWPE692588HYYXCLN3,DQDHFX57546639N575,07/04/1935,6969,2025,2035,2022,06
MARCELA,,CARRION,OJEDA,ZAC,SAN IVAN DE LA MONTANA,LOS ALTOS NORTE,AVENIDA SUR HERNANDES KM,50.5,,54764,BGNA183057HGQURBJ0,ECVDCL7576400579KP,13/04/1944,4744,2026,2036,2015,04
AMADOR,,MELENDEZ,LOPEZ,NAY,VIEJA PARAGUAY,LOS ALTOS SUR,CIRCUITO JALISCO,3642H,PISO 10,31406,CZRL036386MAMDIDV0,RPSXQK31050338TR4D,21/10/1949,8917,2029,2039,2015,06
AURELIO,,CABRERA,AVALOS,NAY,SAN VANESA LOS BAJOS,LOS BAJOS NORTE,CERRADA NORTE URBINA,S/N,,88467,NMXA332163MOHBJWP1,QFNCMK615399091PQG,21/10/1935,2780,2026,2036,2018,12
TIMOTEO,,MONTEZ,AVALOS,GTO,SAN FLAVIO DE LA MONTANA,LOS BAJOS SUR,CIRCUITO NORTE AGUILAR KM,14.1,,19341,CNUU813227MVHIBGC3,UEZKYG81706172RRV8,01/02/1959,5929,2023,2033,2011,01
ANTONIO,,OCAMPO,NAZARIO,JAL,SAN AMANDA LOS ALTOS,LOS ALTOS SUR,BOULEVARD LITUANIA,8273B,INT 85,95468,MFMG276041HNIDLRH7,UTQBJL25171276WOJX,22/05/1981,3717,2023,2033,2008,02
VIOLETA,,PRIETO,DE LA ROSA,HGO,SAN LINDA LOS ALTOS,LOS ALTOS NORTE,PERIFERICO GUERRERO MZ 70 LT,1,,88117,AYXF003567HBHJAS33,WFJPJH62620140QERQ,20/10/1940,1141,2029,2039,2014,11
MAXIMILIANO,,VASQUEZ,CARRION,MOR,SAN ANA LUISA DE LA MONTANA,LOS ALTOS SUR,CALLE SUR NEVAREZ,5669,,73347,UYYP152051MYGXJIA2,QZXIQR78968748F0AJ,02/06/1952,8327,2023,2033,2003,11
JOSE,MANUEL,MONTANO,TAMAYO,OAX,SAN BRUNO DE LA MONTANA,DE LA MONTANA NORTE,BOULEVARD PUEBLA,3908-55,,37681,KHXE313067MEAVVTK4,FRBXXK212811547G8A,18/04/1975,3554,2021,2031,2004,02
DEBORA,,MEDINA,MERINO,BC,SAN ANA LOS BAJOS,LOS ALTOS NORTE,CORREDOR REPUBLICA FEDERAL DEMOCRATICA DE NEPAL,9813-32,,30899,PGSC634314MAMURX34,YUFUFR10969494FIEA,31/12/1967,6406,2021,2031,2010,06
ANTONIA,,MONTEZ,LEBRON,TAB,NUEVA HUNGRIA,LOS BAJOS SUR,PERIFERICO DE LA O,1437-41,H,38185,VJNH632757HEHDIFO3,RWQHFV986595746S6W,17/03/1945,5711,2030,2040,2005,03
